idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1,landed
95,32.85,0,0,0,0,0,0.0,0,0.93825,0,7.5716624,0,0.42345685,0.9830371303390129,0.0,0.1834066530277431,0.0,0,-0.008058598,0,3.569627037991733,0,-9.114083911890694,0,-0.0021893045215064,0,1,0
96,32.879999999999995,0,0,0,0,0,0.0,0,0.9376,0,7.5729785,0,0.42411262,0.9830592930267952,0.0,0.1832878239099848,0.0,0,-0.008131146,0,3.5682349280265404,0,-9.114676667413722,0,-0.0021535727256252,0,1,0
97,32.91,0,0,0,0,0,0.0,0,0.93695,0,7.5743203,0,0.424767,0.9830816405984214,0.0,0.1831679227329833,0.0,0,-0.0082026245,0,3.566823562563473,0,-9.115283380939132,0,-0.0021175610039296,0,1,0
98,32.94,0,0,0,0,0,0.0,0,0.9363,0,7.5756874,0,0.42541975,0.9831041699346668,0.0,0.183046964074988,0.0,0,-0.008273025,0,3.5653925525039503,0,-9.115905139900978,0,-0.0020812802797057,0,1,0
99,32.97,0,0,0,0,0,0.0,0,0.93565,0,7.5770802,0,0.42607072,0.983126877920072,0.0,0.1829249625150484,0.0,0,-0.00834234,0,3.5639422433834933,0,-9.1165401360196,0,-0.0020447965866615,0,1,0
100,33.0,0,0,0,0,0,0.0,0,0.935,0,7.5784984,0,0.4267197,0.9831497614431,0.0,0.1828019326330426,0.0,0,-0.008410563,0,3.5624730915831258,0,-9.11719074513166,0,-0.002008066353714,0,1,0
101,33.03,0,0,0,0,0,0.0,0,0.93435,0,7.5799417,0,0.4273665,0.9831728146741766,0.0,0.1826779036601227,0.0,0,-0.008477686,0,3.56098427615558,0,-9.117854539474084,0,-0.0019711800244709,0,1,0
102,33.06,0,0,0,0,0,0.0,0,0.9337,0,7.5814104,0,0.4280109,0.9831960372359072,0.0,0.1825528755281846,0.0,0,-0.008543706,0,3.559476170317691,0,-9.11853222184524,0,-0.0019340662241531,0,1,0
103,33.09,0,0,0,0,0,0.0,0,0.93305,0,7.582904,0,0.4286528,0.9832194233111065,0.0,0.18242687747088,0.0,0,-0.008608614,0,3.557948971710656,0,-9.119223525158398,0,-0.0018968382182593,0,1,0
104,33.12,0,0,0,0,0,0.0,0,0.9324,0,7.584422,0,0.429292,0.983242972527642,0.0,0.1822999094212791,0.0,0,-0.008672409,0,3.556401996937105,0,-9.119928106693706,0,-0.0018594228978235,0,1,0
