idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1
83,32.49,0,0,0,0,0,0.0,0,0.94605,0,7.557875,0,0.41555715,0.9827867856538165,0.0,0.18474342733704854,0.0,0,-0.007108214,0,3.584851762815668,0,-9.108185372138506,0,-0.0025907483993752047,0,1
84,32.519999999999996,0,0,0,0,0,0.0,0,0.9454,0,7.558882,0,0.41621235,0.9828064770072633,0.0,0.18463864371407096,0.0,0,-0.0071927793,0,3.58368597728428,0,-9.108588428511544,0,-0.0025596286956660738,0,1
85,32.55,0,0,0,0,0,0.0,0,0.94475,0,7.559915,0,0.41686898,0.9828263909183546,0.0,0.18453261314575747,0.0,0,-0.007276413,0,3.5825010106381225,0,-9.109007255810996,0,-0.0025280466031376006,0,1
86,32.58,0,0,0,0,0,0.0,0,0.9441,0,7.5609736,0,0.41752675,0.9828465269839638,0.0,0.18442533555767365,0.0,0,-0.0073591014,0,3.5812980586647574,0,-9.109443066993231,0,-0.002495974297031432,0,1
87,32.61,0,0,0,0,0,0.0,0,0.94345,0,7.562058,0,0.4181854,0.9828668793031488,0.0,0.1843168401663006,0.0,0,-0.0074408296,0,3.580076214673043,0,-9.1098946547598,0,-0.0024634627756382147,0,1
88,32.64,0,0,0,0,0,0.0,0,0.9428,0,7.563168,0,0.4188447,0.982887444728201,0.0,0.18420714154360987,0.0,0,-0.0075215846,0,3.578836258844907,0,-9.110363214168988,0,-0.002430534280095416,0,1
89,32.67,0,0,0,0,0,0.0,0,0.94215,0,7.564304,0,0.41950434,0.9829082201134959,0.0,0.18409625426205567,0.0,0,-0.007601354,0,3.5775775380084176,0,-9.110847579134065,0,-0.002397184689817758,0,1
90,32.699999999999996,0,0,0,0,0,0.0,0,0.9415,0,7.565466,0,0.42016414,0.982929205057248,0.0,0.18398417824782223,0.0,0,-0.0076801246,0,3.5762999899308068,0,-9.111348313014302,0,-0.002363410956555268,0,1
91,32.73,0,0,0,0,0,0.0,0,0.94085,0,7.5666537,0,0.4208238,0.9829503936735786,0.0,0.18387094272058552,0.0,0,-0.007757884,0,3.5750035476546804,0,-9.111864168684681,0,-0.002329285077765704,0,1
92,32.76,0,0,0,0,0,0.0,0,0.9402,0,7.5678673,0,0.42148313,0.9829717828241206,0.0,0.1837565622544403,0.0,0,-0.007834622,0,3.5736881438333836,0,-9.112396402947597,0,-0.0022947732032133914,0,1
93,32.79,0,0,0,0,0,0.0,0,0.93955,0,7.5691066,0,0.42214188,0.9829933721097542,0.0,0.18364103677635432,0.0,0,-0.007910327,0,3.5723536678601233,0,-9.112943757561512,0,-0.0022599443652543466,0,1
94,32.82,0,0,0,0,0,0.0,0,0.9389,0,7.5703716,0,0.42279986,0.983015155657906,0.0,0.18352439550877914,0.0,0,-0.007984989,0,3.5709997237104885,0,-9.113506309564603,0,-0.002224765412859759,0,1
95,32.85,0,0,0,0,0,0.0,0,0.93825,0,7.5716624,0,0.42345685,0.9830371303390127,0.0,0.18340665302774314,0.0,0,-0.008058598,0,3.569627037991733,0,-9.114083911890694,0,-0.0021893045215064587,0,1
96,32.879999999999995,0,0,0,0,0,0.0,0,0.9376,0,7.5729785,0,0.42411262,0.9830592930267952,0.0,0.18328782390998483,0.0,0,-0.008131146,0,3.5682349280265404,0,-9.114676667413722,0,-0.0021535727256252217,0,1
97,32.91,0,0,0,0,0,0.0,0,0.93695,0,7.5743203,0,0.424767,0.9830816405984214,0.0,0.1831679227329833,0.0,0,-0.0082026245,0,3.566823562563473,0,-9.115283380939132,0,-0.0021175610039296457,0,1
98,32.94,0,0,0,0,0,0.0,0,0.9363,0,7.5756874,0,0.42541975,0.9831041699346668,0.0,0.18304696407498805,0.0,0,-0.008273025,0,3.5653925525039503,0,-9.115905139900978,0,-0.0020812802797057386,0,1
99,32.97,0,0,0,0,0,0.0,0,0.93565,0,7.5770802,0,0.42607072,0.983126877920072,0.0,0.18292496251504844,0.0,0,-0.00834234,0,3.5639422433834933,0,-9.116540136019601,0,-0.0020447965866615923,0,1
